filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,label
0D1AD73E-4C5E-45F3-85C4-9A3CB71E8856-1434281991-1.1-f-04-bp.wav,0.565666258,0.012690895,1238.186371,1388.880126,2370.755753,0.057688328,-360.2409363,177.8826752,-48.92895126,44.58285904,-37.36857224,21.44547462,-23.61708832,-7.485503674,-16.21769333,-8.643568039,-3.102189541,-17.81232452,-4.215185642,-18.56258965,0.565528572,-15.94555855,-7.778139114,-13.63319588,-6.07925415,-3.267611504,bellyPain
549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,0.279840887,0.019538756,1276.623371,740.2413356,2140.298544,0.098067,-498.0955505,111.1120911,-50.68429947,-16.35099602,11.98418522,-26.92066765,-12.6058197,6.503307819,-12.03870487,-7.392812252,3.488758087,-5.644413948,-6.099539757,-4.687110901,-8.375509262,-1.116577148,6.129941463,7.344168186,9.15358448,4.007851601,bellyPain
5b49f19f-a3a7-411e-bb32-755da3cbd6f0-1430185074865-1.7-f-26-bp.wav,0.384054869,0.07524389,827.0803955,767.3179371,1587.140625,0.046850586,-300.9855347,191.1685486,-25.0242939,13.37905407,25.6140728,-31.42346764,-8.390011787,2.882935286,-15.77117538,6.656155586,7.239171505,-10.52484989,1.692477107,-2.973938465,-13.50920773,-0.926774681,-6.265073299,-13.46630001,-2.333240271,-7.314169884,bellyPain
643D64AD-B711-469A-AF69-55C0D5D3E30F-1430128334-1.0-m-72-bp.wav,0.381388605,0.005476604,1715.7785,1568.668188,3251.264115,0.101675678,-413.5594788,136.7628632,-63.62594604,15.82551575,-39.2638092,14.4170084,-31.17420006,-6.495548248,-7.062713623,-10.65602016,-5.893378258,-13.72797585,0.507330298,-13.55931187,-1.608971238,-15.01847076,-2.146909952,-6.74933672,-6.255671978,-4.201728821,bellyPain
643D64AD-B711-469A-AF69-55C0D5D3E30F-1430128367-1.0-m-72-bp.wav,0.546156943,0.003460266,1844.504805,1576.472766,3335.079612,0.127740519,-441.1221008,144.4471436,-72.31036377,26.16596985,-51.50697327,21.91562843,-28.7228241,-5.34059763,-2.285408258,-5.488962173,-11.62334633,-19.23920631,0.770423651,-18.03235626,0.010190401,-14.1619463,0.011587787,-7.828872204,-5.494461536,-1.605017662,bellyPain
643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138480-1.0-m-72-bp.wav,0.455214381,0.006396773,2158.714409,1892.950337,4454.913128,0.124961196,-422.3318787,93.29118347,-35.52127075,21.12335014,-38.74268341,2.964257956,-22.55114937,-7.34748745,-10.6970768,-13.69874382,-6.632445335,-14.73883724,-2.726514101,-15.87114525,-3.99695158,-10.27311897,-4.408564568,-5.289651871,-5.250523567,0.628761709,bellyPain
643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,0.379327446,0.006478388,2221.938057,1949.105929,4730.24579,0.123829418,-443.0052185,92.01592255,-40.68192673,28.03271103,-39.98484802,16.38131523,-27.48909378,-7.469001293,-12.51056957,-12.95489788,-5.514058113,-16.57458115,-1.209764719,-19.24704742,-4.410033226,-11.43260384,-3.952979565,-6.937810421,-1.359476686,7.061365128,bellyPain
643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,0.399120063,0.012354859,2003.532116,1824.105941,4215.587975,0.110957872,-375.1847839,103.3749466,-43.4161644,19.05451012,-39.83353806,1.596220613,-27.53725243,-8.216356277,-11.96020794,-14.65423203,-7.149359226,-17.06243134,-3.389055967,-13.68129444,-2.203755379,-9.406027794,-4.105260372,-7.189712524,-4.343240738,-1.274197936,bellyPain
643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,0.383901298,0.020587195,2037.621596,1782.508117,4016.726705,0.118474493,-328.9233704,104.7628403,-54.13413239,19.02206612,-43.99734497,4.553771496,-31.82903671,-6.836099148,-20.11090851,-11.30200481,-3.467421055,-18.83648682,-5.460809231,-18.56039238,2.27659893,-8.439344406,2.670343399,-1.672412038,-1.208968043,-2.191823721,bellyPain
643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,0.386974156,0.041141327,2081.386885,1886.780355,4390.741331,0.114552075,-250.4366455,105.1565094,-48.20439148,36.58137131,-47.42995453,3.412796497,-38.43690872,-10.64848423,-17.77132034,-13.24593163,-5.882427692,-18.02295876,0.558740139,-18.62844849,1.130357385,-9.698536873,-0.908844411,-3.927268744,-4.039258003,-3.666409254,bellyPain
